Symbol	KO_L_C01_REP1	KO_L_C01_REP2	KO_L_C01_REP3	KO_L_C24_REP1	KO_L_C24_REP3	KO_N_C01_REP1	KO_N_C01_REP2	KO_N_C01_REP3	KO_N_C24_REP1	KO_N_C24_REP3	WT_L_C00_REP1	WT_L_C00_REP2	WT_N_C00_REP1	WT_N_C00_REP2	WT_N_C00_REP3
Zgrf1	3.47444306620093	3.1969683519478	3.98658841712211	3.19939121967444	4.37983335172917	4.72386418336375	4.96558317521186	4.92537334001788	4.67220148921196	4.79634487328378	4.34768722223846	3.47500435742811	4.95842505257324	5.26596050595849	5.23869477511799
Zgpat	5.53540742326222	4.57547099371245	5.36125773624152	5.13299600955076	4.49366500983198	5.16485588389992	5.23390890766303	5.42753945376877	5.53316010580915	5.73692949689819	5.74265758365922	5.41077878080444	5.62629323930305	5.71792221113173	5.56871173535346
Zg16	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.7939723906934	2.27932853613905	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zfyve9	2.60074460672912	2.76541801791132	2.60770588441532	3.51100021835218	2.67254783046388	2.72903246380165	2.7939723906934	2.89293896151543	2.99104033622852	2.5020728271906	1.63628512020582	3.47500435742811	3.05667423462183	2.93847803551584	2.68122590005078
Zfyve28	2.60074460672912	3.1969683519478	2.98637544659116	2.44596241102199	3.07333855482893	4.23233014699159	3.87872986584925	3.36490420253949	4.92943060291732	4.41531473306982	3.13253906726493	3.72016033701366	4.52695658446719	4.46170087261106	4.47565911379927
Zfyve27	6.34112361992432	6.52761712466586	6.48425221869879	6.4843605814346	5.93784971929521	6.56921473686941	6.803540473488	6.76119989566645	6.59309962046212	6.68681457398477	6.66015940706033	6.90251136550502	6.906090633591	6.87303688955504	6.6492440848783
Zfyve26	5.85686720623108	6.09130015834407	5.87621361415115	5.59191005044324	5.42019553664895	7.7525696032839	8.03933608570234	7.81171842988932	7.85947378221186	7.5927840454745	6.23884739319118	6.19802339262376	7.90026639019439	7.91495973567155	7.67474818701452
Zfyve21	3.97215186082374	3.96490314560214	2.98637544659116	3.3652866951966	3.3647343679568	3.99062567553591	3.87872986584925	4.18945704274295	3.62206992717809	3.88679151779482	3.67461029799926	3.16828509360519	3.94327151018457	3.82851959222287	3.61368943208487
Zfyve19	4.61866709646501	3.75658817983169	5.16790341530581	4.80655448591837	5.10409456638828	5.34272850562964	5.45956719992398	5.42753945376877	5.50206382773038	5.07104263857219	4.97688172561792	4.85640788937654	5.51247669360509	5.40236975119977	5.34392453338489
Zfyve16	8.80537504507127	8.62517329329128	8.78173310361601	8.49181511357211	8.63020758773932	8.43321150249187	8.18253650632654	8.39696614595421	8.1712916524347	8.3269181306446	8.23932511557158	8.29454052968624	8.08260461766323	8.03905038733976	8.23298783692587
Zfyve1	6.41621443209809	6.67646846367493	6.78182869688161	6.86662368493568	6.73560723437529	7.32608870603577	7.7542987061299	7.49758089618778	7.6981005614663	7.68059915970112	6.16716195410284	6.85531902959867	7.50400857917885	7.4530534550709	7.38235556793897
Zfx	9.297049892279	8.7445419972524	8.82660416373035	8.74262118101346	8.72457901610387	9.02388966801822	8.84157876340281	8.87521612196035	8.84948020084867	8.99846954390245	8.83190517414393	8.85811487113829	8.67811615889042	9.09534327818893	8.96956188963938
Zftraf1	6.59918135176846	6.55864408351481	6.19781062360308	6.65251419278302	6.54165851459344	6.92082821176067	7.15675332970787	6.76953346488536	7.16746374677527	6.9719302230079	6.89993879106245	6.78149878907313	7.09521836382164	7.20002692723578	7.07717957507835
Zfta	4.52985351179626	4.30391727986939	4.34892291039975	4.30748955836803	4.59886761477051	3.80123402492213	3.80441460679534	3.45796885936901	3.18351330082371	3.47452830986599	4.97688172561792	3.92601382183605	3.84877668872822	3.70748521542478	3.68328155134913
Zfr2	1.63628512020582	1.63628512020582	2.329543967376	1.63628512020582	1.63628512020582	2.72903246380165	2.58965679954621	2.73273272023068	3.18351330082371	2.68911923752546	3.13253906726493	3.47500435742811	3.74695511452015	2.6580607736863	2.96727254749203
